lang_a,lang_b,count,mean,std
Arabic,Arabic,30,0.9936363557974498,0.016017461939525617
Arabic,Chinese,30,0.9587886492411296,0.011334864708200627
Arabic,Dutch,30,0.9480409781138103,0.020163940991213474
Arabic,English,30,0.9385928273200989,0.01261181683730832
Arabic,French,30,0.9436074137687683,0.012015169269080892
Arabic,German,30,0.949081955353419,0.023329640007927598
Arabic,Indonesian,30,0.9664293626944224,0.006134617340487982
Arabic,Italian,30,0.9494799156983693,0.01408766745418675
Arabic,Japanese,30,0.9489398678143819,0.021327515922127033
Arabic,Korean,30,0.9679849485556284,0.014040607580773273
Arabic,Polish,30,0.9575841208299001,0.00856775829771929
Arabic,Portuguese,30,0.9449305395285289,0.0120610596805909
Arabic,Russian,30,0.9604624489943187,0.013973205494584641
Arabic,Spanish,30,0.9411259253819784,0.014790073332050267
Arabic,Vietnamese,30,0.9611208120981852,0.018153874066019465
Chinese,Chinese,30,0.9968056698640188,0.002890266354233371
Chinese,Dutch,30,0.946716703971227,0.025984237670055824
Chinese,English,30,0.9370235959688823,0.01442434996139047
Chinese,French,30,0.9317183673381806,0.0150187290416362
Chinese,German,30,0.9455317636330922,0.022632288752311023
Chinese,Indonesian,30,0.9603187620639801,0.010459108551694166
Chinese,Italian,30,0.9385218063990275,0.01727868098506205
Chinese,Japanese,30,0.9756549894809723,0.01398132207897096
Chinese,Korean,30,0.9662430226802826,0.01286764037490946
Chinese,Polish,30,0.9444889048735301,0.015125141585447557
Chinese,Portuguese,30,0.936049222946167,0.012732525861187598
Chinese,Russian,30,0.9514903704325358,0.011124998186308702
Chinese,Spanish,30,0.9345814824104309,0.01458488982542548
Chinese,Vietnamese,30,0.9618435362974803,0.013939979439319126
Dutch,Dutch,30,0.9895362615585327,0.03730715331532593
Dutch,English,30,0.9480777819951375,0.02694723454757542
Dutch,French,30,0.9464281598726908,0.01037268012977742
Dutch,German,30,0.9611581524213155,0.01006350624505533
Dutch,Indonesian,30,0.9552132725715637,0.02211105365758759
Dutch,Italian,30,0.9490229765574137,0.020611833253694305
Dutch,Japanese,30,0.9421896835168203,0.026885076326979795
Dutch,Korean,30,0.9628594080607097,0.010477898985657584
Dutch,Polish,30,0.9516152362028758,0.016486542382264237
Dutch,Portuguese,30,0.951500391960144,0.010009431506417088
Dutch,Russian,30,0.9606703241666158,0.011820213075714882
Dutch,Spanish,30,0.941809993982315,0.02155065468716791
Dutch,Vietnamese,30,0.9504580597082773,0.02982564511621369
English,French,30,0.9412499725818634,0.020264057829349848
English,German,30,0.9452837646007538,0.03254967872997278
English,Indonesian,30,0.9676248331864675,0.019206181136017228
English,Italian,30,0.9493254780769348,0.02411777674964707
English,Japanese,30,0.9307025512059529,0.01609841981317296
English,Korean,30,0.9501886010169983,0.022150035549855663
English,Polish,30,0.9453950126965841,0.02235453473683762
English,Portuguese,30,0.9520504474639893,0.015310329224632048
English,Russian,30,0.9523083329200744,0.021066305917710613
English,Spanish,30,0.9550159494082133,0.022192650213522597
English,Vietnamese,30,0.9619492212931315,0.02305204783449946
French,French,30,0.9925746977329254,0.015698741410360127
French,German,30,0.9512721240520478,0.011972914744548766
French,Indonesian,30,0.9479854186375936,0.014142095717007816
French,Italian,30,0.9529242634773254,0.012819129655325863
French,Japanese,30,0.9259092668692271,0.021761934130694133
French,Korean,30,0.9435411135355631,0.014146586799283583
French,Polish,30,0.9400340835253398,0.01797331162087579
French,Portuguese,30,0.9541959305604298,0.012683978271567257
French,Russian,30,0.952360987663269,0.010845909200053544
French,Spanish,30,0.9524721999963125,0.010035978804982365
French,Vietnamese,30,0.9550266981124877,0.013703944777549546
German,German,30,0.9742168188095093,0.03661320323850162
German,Indonesian,30,0.9623346269130707,0.008882422786196846
German,Italian,30,0.9478752315044403,0.016711596124079367
German,Japanese,30,0.943673966328303,0.028261380815394945
German,Korean,30,0.9575476725896199,0.013906753991613263
German,Polish,30,0.9540252308050792,0.012055315171020469
German,Portuguese,30,0.9455788969993592,0.02508626202601068
German,Russian,30,0.9602236330509186,0.023306274842162675
German,Spanish,30,0.9448652505874634,0.023856896773041782
German,Vietnamese,30,0.9567586998144786,0.01112617984547562
Indonesian,Indonesian,30,0.9918641448020935,0.014717446081041809
Indonesian,Italian,30,0.9541075785954793,0.013811096753022644
Indonesian,Japanese,30,0.9557428578535716,0.011213595897795312
Indonesian,Korean,30,0.9628993272781372,0.012938137501906075
Indonesian,Polish,30,0.9600364983081817,0.012629015499319968
Indonesian,Portuguese,30,0.9555991768836976,0.009427967351150314
Indonesian,Russian,30,0.9674608548482259,0.011254331868405158
Indonesian,Spanish,30,0.9526513318220774,0.012379878945966667
Indonesian,Vietnamese,30,0.9699158211549123,0.013909439452595896
Italian,Italian,30,0.994084890683492,0.013847704813439422
Italian,Japanese,30,0.929745364189148,0.023404067938020533
Italian,Korean,30,0.9431257843971252,0.011999639210245648
Italian,Polish,30,0.9494222442309062,0.014507667094169804
Italian,Portuguese,30,0.963644419113795,0.011156266608688594
Italian,Russian,30,0.9540917774041494,0.013051325320258943
Italian,Spanish,30,0.9643591503302257,0.010932346491677744
Italian,Vietnamese,30,0.9536922713120778,0.015144355110760083
Japanese,Japanese,30,0.994217739502589,0.011278304128921687
Japanese,Korean,30,0.9715075751145681,0.020741446945280097
Japanese,Polish,30,0.9465702255566915,0.02204109487673477
Japanese,Portuguese,30,0.9251767178376515,0.01869181669354136
Japanese,Russian,30,0.9542278130849202,0.007703033103244192
Japanese,Spanish,30,0.9285370965798696,0.01919155969593705
Japanese,Vietnamese,30,0.9546849966049195,0.014990073590331027
Korean,Korean,30,0.9929371873537699,0.01803763722452567
Korean,Polish,30,0.9580738147099813,0.012478068896225103
Korean,Portuguese,30,0.9380684534708659,0.012019777513454157
Korean,Russian,30,0.9624118089675904,0.01182568764826309
Korean,Spanish,30,0.941459079583486,0.011815475955962435
Korean,Vietnamese,30,0.9710087100664775,0.014854857984764954
Polish,Polish,30,0.9868651469548543,0.02854735377200006
Polish,Portuguese,30,0.951303114493688,0.010426782548312818
Polish,Russian,30,0.9670325756072998,0.017494795123881947
Polish,Spanish,30,0.9471066991488138,0.013164463988021239
Polish,Vietnamese,30,0.9569625854492188,0.018457881552407587
Portuguese,Portuguese,30,0.9937680006027222,0.016497083575921754
Portuguese,Russian,30,0.9524868190288543,0.011794029097690199
Portuguese,Spanish,30,0.9691215356191,0.011327719167484741
Portuguese,Vietnamese,30,0.9538777271906534,0.013171390173512652
Russian,Russian,30,0.9905805210272471,0.019329318980674165
Russian,Spanish,30,0.9539900481700897,0.012992768319750566
Russian,Vietnamese,30,0.9617125829060872,0.014238037471659465
Spanish,Spanish,30,0.9896859407424927,0.017540783258150956
Spanish,Vietnamese,30,0.9522220889727274,0.014530387741356053
Vietnamese,Vietnamese,30,0.9838659524917602,0.027088232380195195
